company_name,url,source,hub_name,hub_type,company_number,postcode,ch_status,sic_code,company_size,incorporated,last_accounts,address,ch_validated,ch_match_score,ch_match_name,ch_concern,has_url
XO1,https://www.xo1.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
BlueGnome,https://www.bluegnome.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Cambridge CMOS Sensors,https://www.cmossensors.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Centessa,https://www.centessa.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Gyroscope,https://www.gyroscopetx.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Solexa,https://www.solexa.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Quethera,https://www.quethera.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
VocalIQ,https://www.vocaliq.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
8power,https://www.8power.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Accelerated Materials,https://www.acceleratedmaterials.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
AEMS,https://www.aems.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Aetosense,https://www.aetosense.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
AllFocal Optics,https://www.allfocaloptics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Aqdot,https://www.aqdot.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
BKwai,https://www.bkwai.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Bond180,https://www.bond180.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Cambridge Innovation System,https://www.cis.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Cambridge Touch Technologies,https://www.cambridgetouchtech.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Enval,https://www.enval.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Focal Point Positioning,https://www.focalpointpositioning.com,hub,Cambridge Enterprise,Academic Commercialization,9589495,CB4 3NP,Active,72190 - Other research and experimental development on natural sciences and engineering,GROUP,13/05/2015,31/12/2024,"1-3 CHESTERTON MILL, FRENCHS ROAD, CAMBRIDGE",True,1.0,FOCAL POINT POSITIONING LTD.,False,True
IKVA,https://www.ikva.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Immaterial,https://www.immaterial.com,hub,Cambridge Enterprise,Academic Commercialization,9829727,CB4 0FW,Active,72190 - Other research and experimental development on natural sciences and engineering,SMALL,19/10/2015,30/04/2025,"25 CAMBRIDGE SCIENCE PARK, MILTON ROAD, CAMBRIDGE",True,1.0,IMMATERIAL LTD,False,True
Intellegens,https://www.intellegens.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
JoltSynSor,https://www.joltsynsor.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Matta,https://www.matta.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
MedicBank Healthcare,https://www.medicbank.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Myriofoam,https://www.myriofoam.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Nanomation,https://www.nanomation.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Nu Quantum,https://www.nuquantum.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Paragraf,https://www.paragraf.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
PervasID,https://www.pervasid.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Pinepeak,https://www.pinepeak.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Planetary Processing,https://www.planetaryprocessing.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Poro Technologies,https://www.porotech.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
ProSpectral,https://www.prospectral.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
RegGenome,https://www.reggenome.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Riverlane,https://www.riverlane.com,hub,Cambridge Enterprise,Academic Commercialization,10260255,CB2 3BZ,Active,62090 - Other information technology service activities,GROUP,04/07/2016,31/12/2024,"1ST FLOOR, ST. ANDREWS HOUSE, 59 ST. ANDREWS STREET, CAMBRIDGE",True,1.0,RIVERLANE LTD,False,True
RoboK,https://www.robok.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Signaloid,https://www.signaloid.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Sorex Sensors,https://www.sorexsensors.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Sqwish,https://www.sqwish.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Super-Sharp Space Systems,https://www.supersharp.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Tenyks,https://www.tenyks.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Trismik,https://www.trismik.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Wave Photonics,https://www.wavephotonics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Zomp,https://www.zomp.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
52 North,https://www.52north.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Abselion,https://www.abselion.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Axiom Therapeutics,https://www.axiomtherapeutics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Bilitech,https://www.bilitech.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Biomodal,https://www.biomodal.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Biophonics,https://www.biophonics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
BIOS Health,https://www.bioshealth.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
BioTryp Therapeutics,https://www.biotryp.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Bit Bio,https://www.bitbio.com,hub,Cambridge Enterprise,Academic Commercialization,10466798,CB3 0QH,Active,72190 - Other research and experimental development on natural sciences and engineering,GROUP,07/11/2016,31/12/2024,"CAMBRIDGE HOUSE CAMBORO BUSINESS PARK, GIRTON, CAMBRIDGE",True,1.0,BIT BIO LIMITED,False,True
Cambiotics,https://www.cambiotics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Cambridge Adaptive Testing,https://www.cambridgeadaptive.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Cambridge Vision Technology,https://www.cambridgevision.com,hub,Cambridge Enterprise,Academic Commercialization,12050106,CB25 9AU,Active,62012 - Business and domestic software development,UNAUDITED ABRIDGED,13/06/2019,30/06/2024,"7 QUY COURT COLLIERS LANE, STOW-CUM-QUY, CAMBRIDGE",True,0.5,CAMBRIDGE AGILE TECHNOLOGY LTD,False,True
CamBris Cardiac,https://www.cambriscardiac.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
CamGene Therapeutics,https://www.camgene.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
CardiaTec Biosciences,https://www.cardiatec.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Carrick Therapeutics,https://www.carricktherapeutics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
CellCentric,https://www.cellcentric.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Cellestial Health,https://www.cellestialhealth.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
ConcR,https://www.concr.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
DefiniGEN,https://www.definigen.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
DIOSynVax,https://www.diosynvax.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Electra Bio,https://www.electrabio.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Evoralis,https://www.evoralis.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Function Rx,https://www.functionrx.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Gastrobody Therapeutics,https://www.gastrobody.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Healthera,https://www.healthera.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Immutrin,https://www.immutrin.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Inotec AMD,https://www.inotecamd.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Kalium Health,https://www.kaliumhealth.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Mecha Health,https://www.mechahealth.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
NeoPhore,https://www.neophore.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
NoBACZ Healthcare,https://www.nobacz.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Octiocor,https://www.octiocor.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Orbit,https://www.orbit.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Pharmenable,https://www.pharmenable.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
PneumaCare,https://www.pneumacare.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Polypharmakos,https://www.polypharmakos.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Pretzel Therapeutics,https://www.pretzeltherapeutics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
Prodromic,https://www.prodromic.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True
